towns,population
BOSTON,675647
WORCESTER,206518
SPRINGFIELD,155929
CAMBRIDGE,118403
LOWELL,115554
BROCKTON,105643
QUINCY,101636
LYNN,101253
NEW BEDFORD,101079
FALL RIVER,94000
LAWRENCE,89143
NEWTON,88923
SOMERVILLE,81045
FRAMINGHAM,72362
HAVERHILL,67787
MALDEN,66263
WALTHAM,65218
BROOKLINE,63191
REVERE,62186
PLYMOUTH,61217
MEDFORD,59659
TAUNTON,59408
WEYMOUTH,57437
CHICOPEE,55560
PEABODY,54481
METHUEN,53039
EVERETT,49075
BARNSTABLE,48916
ATTLEBORO,46461
ARLINGTON,46308
SALEM,44480
PITTSFIELD,43927
LEOMINSTER,43782
BEVERLY,42670
BILLERICA,42119
FITCHBURG,41946
MARLBOROUGH,41793
WOBURN,40876
WESTFIELD,40834
CHELSEA,40787
AMHERST,39263
BRAINTREE,39143
SHREWSBURY,38325
HOLYOKE,38238
NATICK,37006
ANDOVER,36569
CHELMSFORD,36392
WATERTOWN,35329
RANDOLPH,34984
LEXINGTON,34454
DARTMOUTH,33783
FRANKLIN,33261
DRACUT,32617
FALMOUTH,32517
NEEDHAM,32091
NORWOOD,31611
TEWKSBURY,31342
NORTH ANDOVER,30915
NORTH ATTLEBOROUGH,30834
MILFORD,30379
MELROSE,29817
GLOUCESTER,29729
NORTHAMPTON,29571
WELLESLEY,29550
STOUGHTON,29281
WEST SPRINGFIELD,28835
AGAWAM,28692
BRIDGEWATER,28633
MILTON,28630
SAUGUS,28619
DANVERS,28087
BELMONT,27295
WAKEFIELD,27090
WALPOLE,26383
BURLINGTON,26377
MARSHFIELD,25825
READING,25518
DEDHAM,25364
EASTON,25058
YARMOUTH,25023
WESTFORD,24643
CANTON,24370
HINGHAM,24284
MIDDLEBOROUGH,24245
ACTON,24021
MANSFIELD,23860
WILMINGTON,23349
WAREHAM,23303
STONEHAM,23244
WINCHESTER,22970
WESTBOROUGH,21567
GARDNER,21287
LUDLOW,21002
BOURNE,20452
MARBLEHEAD,20441
SANDWICH,20259
HUDSON,20092
HOLDEN,19905
