City/Town,,,"Obama/ Biden","McCain/ Palin","Nader/ Gonzalez","Barr/ Root","McKinney/ Clemente","Baldwin/ Castle","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Libertarian,Green-Rainbow,"Constitution Party"
Abington,,,"4,094","3,765",75,34,10,17,48,54,"8,097"
Acton,,,"7,894","3,477",79,71,18,7,55,34,"11,635"
Acushnet,,,"3,232","2,110",70,25,10,12,36,98,"5,593"
Adams,,,"3,066",893,56,16,7,11,19,31,"4,099"
Agawam,,,"7,595","6,428",230,74,26,25,58,74,"14,510"
Alford,,,261,57,1,0,0,2,0,2,323
Amesbury,,,"5,111","3,222",69,67,20,9,42,31,"8,571"
Amherst,,,"11,198","1,307",164,58,77,7,69,57,"12,937"
Andover,,,"10,177","7,798",127,88,30,12,59,53,"18,344"
Aquinnah,,,280,26,6,0,0,0,1,0,313
Arlington,,,"18,365","6,407",206,135,80,28,144,123,"25,488"
Ashburnham,,,"1,787","1,486",37,20,6,6,20,28,"3,390"
Ashby,,,885,932,22,11,9,4,8,10,"1,881"
Ashfield,,,903,198,9,7,8,1,3,7,"1,136"
Ashland,,,"5,060","3,184",65,55,20,4,36,56,"8,480"
Athol,,,"2,647","1,956",71,20,15,11,31,20,"4,771"
Attleboro,,,"10,523","8,003",211,104,38,49,90,67,"19,085"
Auburn,,,"4,794","3,849",118,45,14,22,53,55,"8,950"
Avon,,,"1,173","1,159",27,10,4,7,6,38,"2,424"
Ayer,,,"1,895","1,397",30,18,8,11,11,24,"3,394"
Barnstable,,,"13,559","11,084",208,103,37,37,0,181,"25,209"
Barre,,,"1,409","1,205",37,17,8,4,13,16,"2,709"
Becket,,,672,255,11,3,6,5,2,5,959
Bedford,,,"4,516","2,718",68,44,14,12,30,33,"7,435"
Belchertown,,,"4,829","2,683",100,21,24,12,27,37,"7,733"
Bellingham,,,"4,364","3,783",95,31,21,25,55,39,"8,413"
Belmont,,,"9,404","3,982",118,80,29,25,64,110,"13,812"
Berkley,,,"1,585","1,558",39,17,4,10,35,27,"3,275"
Berlin,,,870,712,15,27,4,3,0,22,"1,653"
Bernardston,,,849,354,16,5,4,3,6,8,"1,245"
Beverly,,,"12,247","7,780",193,109,27,27,0,231,"20,614"
Billerica,,,"9,700","9,280",202,79,35,25,127,98,"19,546"
Blackstone,,,"2,229","1,885",58,20,5,10,39,24,"4,270"
Blandford,,,339,344,7,4,3,2,1,1,701
Bolton,,,"1,598","1,214",24,13,7,5,25,9,"2,895"
Boston,,,"185,976","45,548","1,466",788,616,235,949,947,"236,525"
Bourne,,,"5,076","4,859",89,31,10,16,44,54,"10,179"
Boxborough,,,"1,798",996,20,22,5,5,5,15,"2,866"
Boxford,,,"2,286","2,586",33,28,5,7,20,16,"4,981"
Boylston,,,"1,352","1,215",31,15,4,6,17,9,"2,649"
Braintree,,,"9,298","8,964",176,68,22,23,149,132,"18,832"
Brewster,,,"3,903","2,535",66,40,19,12,16,76,"6,667"
Bridgewater,,,"5,889","5,861",122,55,20,18,80,65,"12,110"
Brimfield,,,984,979,54,10,5,7,4,6,"2,049"
Brockton,,,"23,299","9,646",244,96,56,60,127,225,"33,753"
Brookfield,,,875,829,23,5,5,9,16,8,"1,770"
Brookline,,,"22,484","4,842",180,113,78,15,136,123,"27,971"
Buckland,,,785,249,5,4,4,0,6,25,"1,078"
Burlington,,,"6,822","5,703",103,55,19,16,68,69,"12,855"
Cambridge,,,"40,876","4,697",340,229,181,48,160,196,"46,727"
Canton,,,"6,460","5,396",92,45,14,8,56,73,"12,144"
Carlisle,,,"2,116","1,053",30,14,4,4,7,18,"3,246"
Carver,,,"2,937","2,901",53,20,9,17,85,155,"6,177"
Charlemont,,,486,175,11,5,3,2,0,12,694
Charlton,,,"2,883","3,411",74,31,9,12,30,36,"6,486"
Chatham,,,"2,585","2,116",30,15,6,5,20,25,"4,802"
Chelmsford,,,"10,360","8,712",169,103,27,19,96,97,"19,583"
Chelsea,,,"5,926","1,820",59,23,37,15,0,194,"8,074"
Cheshire,,,"1,318",508,36,6,3,9,4,12,"1,896"
Chester,,,369,310,10,5,2,3,3,7,709
Chesterfield,,,444,265,8,5,6,2,3,3,736
Chicopee,,,"14,172","8,268",396,110,59,56,175,242,"23,478"
Chilmark,,,597,125,5,4,4,1,3,3,742
Clarksburg,,,635,236,11,2,2,2,4,13,905
Clinton,,,"3,701","2,563",88,29,11,14,56,44,"6,506"
Cohasset,,,"2,383","2,156",22,21,4,2,21,20,"4,629"
Colrain,,,654,245,14,7,3,9,3,8,943
Concord,,,"7,435","2,903",63,57,28,16,32,48,"10,582"
Conway,,,952,273,11,2,12,3,3,2,"1,258"
Cummington,,,376,148,10,3,1,0,0,3,541
Dalton,,,"2,559",916,47,6,9,6,15,9,"3,567"
Danvers,,,"7,558","6,093",131,55,15,17,111,70,"14,050"
Dartmouth,,,"10,442","5,876",172,56,16,23,152,73,"16,810"
Dedham,,,"7,108","5,361",116,62,25,20,71,94,"12,857"
Deerfield,,,"2,198",786,42,15,4,4,11,15,"3,075"
Dennis,,,"5,209","4,098",71,30,22,18,0,125,"9,573"
Dighton,,,"1,732","1,719",59,19,3,11,32,23,"3,598"
Douglas,,,"1,962","2,235",50,20,9,5,10,31,"4,322"
Dover,,,"1,741","1,614",20,14,4,2,17,16,"3,428"
Dracut,,,"7,216","7,284",138,59,15,18,0,154,"14,884"
