City/Town,,,"Obama/ Biden","Romney/ Ryan","Johnson/ Gray","Stein/ Honkala","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-Rainbow
Abington,,,"4,144","4,061",53,37,20,28,"8,343"
Acton,,,"7,872","3,875",136,83,17,39,"12,022"
Acushnet,,,"3,046","2,196",59,26,18,53,"5,398"
Adams,,,"3,013",819,53,25,9,12,"3,931"
Agawam,,,"7,288","6,870",136,60,33,56,"14,443"
Alford,,,233,64,1,6,0,2,306
Amesbury,,,"4,863","3,427",101,34,21,77,"8,523"
Amherst,,,"12,798","1,911",270,444,61,36,"15,520"
Andover,,,"9,401","9,096",181,82,0,70,"18,830"
Aquinnah,,,252,38,2,6,0,1,299
Arlington,,,"18,850","6,694",249,316,50,94,"26,253"
Ashburnham,,,"1,632","1,535",38,24,18,7,"3,254"
Ashby,,,827,961,32,10,5,8,"1,843"
Ashfield,,,892,187,11,31,1,8,"1,130"
Ashland,,,"4,979","3,409",115,36,9,27,"8,575"
Athol,,,"2,543","2,079",78,41,14,15,"4,770"
Attleboro,,,"10,502","8,470",263,95,54,45,"19,429"
Auburn,,,"4,520","4,121",106,63,18,44,"8,872"
Avon,,,"1,222","1,131",31,11,0,18,"2,413"
Ayer,,,"2,025","1,558",43,21,6,15,"3,668"
Barnstable,,,"12,947","12,355",181,128,0,123,"25,734"
Barre,,,"1,345","1,279",36,25,11,12,"2,708"
Becket,,,686,259,14,10,1,5,975
Bedford,,,"4,469","3,061",90,60,18,21,"7,719"
Belchertown,,,"4,600","2,914",73,81,15,22,"7,705"
Bellingham,,,"4,263","4,133",110,30,24,24,"8,584"
Belmont,,,"9,313","4,752",111,137,28,49,"14,390"
Berkley,,,"1,573","1,689",32,10,16,18,"3,338"
Berlin,,,921,830,35,21,0,7,"1,814"
Bernardston,,,809,329,19,9,8,7,"1,181"
Beverly,,,"12,158","8,328",263,114,53,104,"21,020"
Billerica,,,"9,839","9,959",210,92,64,82,"20,246"
Blackstone,,,"2,222","2,028",50,17,8,19,"4,344"
Blandford,,,300,348,7,5,1,6,667
Bolton,,,"1,554","1,463",37,15,7,10,"3,086"
Boston,,,"200,190","48,985","2,119","2,112",483,"1,132","255,021"
Bourne,,,"4,812","5,296",68,40,28,30,"10,274"
Boxborough,,,"1,753","1,140",33,25,0,14,"2,965"
Boxford,,,"2,066","3,034",48,14,13,18,"5,193"
Boylston,,,"1,283","1,343",36,17,8,6,"2,693"
Braintree,,,"10,059","9,232",157,75,51,97,"19,671"
Brewster,,,"3,678","2,752",60,40,13,36,"6,579"
Bridgewater,,,"5,777","6,098",110,47,28,55,"12,115"
Brimfield,,,897,"1,095",31,20,3,8,"2,054"
Brockton,,,"25,262","8,710",227,85,50,151,"34,485"
Brookfield,,,830,858,26,19,5,5,"1,743"
Brookline,,,"22,277","5,880",208,255,33,136,"28,789"
Buckland,,,750,252,11,21,0,21,"1,055"
Burlington,,,"6,983","6,191",115,46,25,48,"13,408"
Cambridge,,,"43,515","5,476",568,938,122,130,"50,749"
Canton,,,"6,488","5,779",102,37,13,52,"12,471"
Carlisle,,,"1,972","1,318",32,39,3,10,"3,374"
Carver,,,"2,872","3,111",49,20,13,21,"6,086"
Charlemont,,,456,166,6,11,0,4,643
Charlton,,,"2,914","3,662",95,41,12,22,"6,746"
Chatham,,,"2,293","2,280",26,23,16,16,"4,654"
Chelmsford,,,"9,651","9,573",224,99,33,84,"19,664"
Chelsea,,,"6,802","1,515",70,36,0,220,"8,643"
Cheshire,,,"1,219",493,23,10,2,14,"1,761"
Chester,,,331,305,18,7,3,3,667
Chesterfield,,,455,228,17,16,0,7,723
Chicopee,,,"14,302","8,241",263,133,97,168,"23,204"
Chilmark,,,589,127,7,8,3,4,738
Clarksburg,,,616,232,5,7,0,5,865
Clinton,,,"3,768","2,621",90,36,19,32,"6,566"
Cohasset,,,"2,250","2,601",35,9,10,13,"4,918"
Colrain,,,618,232,19,12,5,7,893
Concord,,,"7,316","3,527",95,76,12,29,"11,055"
Conway,,,926,288,6,30,6,4,"1,260"
Cummington,,,368,139,10,11,2,8,538
Dalton,,,"2,444",891,38,29,9,6,"3,417"
Danvers,,,"7,367","6,997",122,57,38,57,"14,638"
Dartmouth,,,"9,880","5,985",175,69,33,57,"16,199"
Dedham,,,"7,757","5,734",122,54,42,57,"13,766"
Deerfield,,,"2,104",839,23,53,8,9,"3,036"
Dennis,,,"4,921","4,247",72,38,0,44,"9,322"
Dighton,,,"1,743","1,843",43,18,16,23,"3,686"
Douglas,,,"1,897","2,542",51,22,0,32,"4,544"
Dover,,,"1,534","2,004",27,12,7,9,"3,593"
Dracut,,,"6,941","8,042",173,51,0,112,"15,319"
Dudley,,,"2,471","2,549",57,18,8,15,"5,118"
Dunstable,,,821,"1,036",25,11,2,6,"1,901"
Duxbury,,,"4,247","5,325",56,37,15,19,"9,699"
"E. Bridgewater",,,"3,349","3,878",66,25,22,26,"7,366"
"E. Brookfield",,,470,663,11,4,4,5,"1,157"
"E. Longmeadow",,,"4,092","4,528",69,27,19,25,"8,760"
Eastham,,,"2,188","1,446",24,21,11,12,"3,702"
Easthampton,,,"6,283","2,463",103,157,29,44,"9,079"
Easton,,,"5,262","6,060",84,670,31,39,"12,146"
Edgartown,,,"1,701",827,22,14,6,14,"2,584"
Egremont,,,677,152,4,9,0,2,844
Erving,,,557,200,8,5,3,5,778
Essex,,,"1,163",966,29,14,1,7,"2,180"
Everett,,,"9,409","3,589",93,45,39,66,"13,241"
Fairhaven,,,"5,011","3,056",107,46,27,44,"8,291"
"Fall River",,,"21,878","7,390",299,128,51,507,"30,253"
Falmouth,,,"11,127","8,163",153,112,34,54,"19,643"
Fitchburg,,,"8,547","5,602",216,71,17,100,"14,553"
Florida,,,255,127,7,1,3,0,393
Foxborough,,,"4,787","4,817",99,22,21,37,"9,783"
Framingham,,,"18,499","8,978",265,164,65,92,"28,063"
Franklin,,,"8,616","8,566",176,87,44,57,"17,546"
Freetown,,,"2,318","2,247",66,25,17,28,"4,701"
Gardner,,,"4,699","3,331",117,65,25,42,"8,279"
Georgetown,,,"2,273","2,579",49,17,12,17,"4,947"
Gill,,,653,213,12,18,3,1,900
Gloucester,,,"9,780","5,535",161,79,61,73,"15,689"
Goshen,,,395,198,10,11,0,2,616
Gosnold,,,49,36,1,1,0,0,87
Grafton,,,"4,877","4,438",122,49,18,26,"9,530"
Granby,,,"1,870","1,575",28,28,5,25,"3,531"
Granville,,,377,502,11,4,0,6,900
"Great Barrington",,,"2,928",597,33,43,8,12,"3,621"
Greenfield,,,"6,187","1,895",89,185,31,87,"8,474"
Groton,,,"3,229","2,814",58,49,11,201,"6,362"
Groveland,,,"1,832","2,084",50,17,10,9,"4,002"
Hadley,,,"2,142",891,26,43,10,18,"3,130"
Halifax,,,"1,938","2,071",48,16,21,10,"4,104"
Hamilton,,,"2,189","2,223",56,26,18,17,"4,529"
Hampden,,,"1,286","1,569",37,13,5,8,"2,918"
Hancock,,,228,142,9,3,0,1,383
Hanover,,,"3,359","4,911",53,20,16,37,"8,396"
Hanson,,,"2,513","3,003",43,14,2,50,"5,625"
Hardwick,,,710,560,27,13,4,8,"1,322"
Harvard,,,"2,167","1,362",46,30,4,33,"3,642"
Harwich,,,"4,415","3,622",65,53,19,31,"8,205"
Hatfield,,,"1,362",638,11,24,7,7,"2,049"
Haverhill,,,"15,592","11,894",331,110,52,144,"28,123"
Hawley,,,127,65,2,5,2,0,201
Heath,,,295,124,2,8,3,3,435
Hingham,,,"6,803","7,249",93,44,33,29,"14,251"
Hinsdale,,,728,297,26,6,1,9,"1,067"
Holbrook,,,"3,024","2,403",48,24,14,33,"5,546"
Holden,,,"5,080","5,315",100,54,32,28,"10,609"
Holland,,,593,690,27,14,4,6,"1,334"
Holliston,,,"4,637","3,511",102,44,21,21,"8,336"
Holyoke,,,"12,536","3,656",113,144,0,122,"16,571"
Hopedale,,,"1,701","1,536",43,14,3,17,"3,314"
Hopkinton,,,"4,208","4,336",94,31,11,23,"8,703"
Hubbardston,,,"1,160","1,381",31,28,11,20,"2,631"
Hudson,,,"5,642","4,185",139,49,8,57,"10,080"
Hull,,,"3,584","2,418",51,24,12,22,"6,111"
Huntington,,,554,479,52,14,4,10,"1,113"
Ipswich,,,"4,464","3,758",86,52,11,42,"8,413"
Kingston,,,"3,179","3,726",52,13,10,26,"7,006"
Lakeville,,,"2,422","3,312",55,18,25,69,"5,901"
Lancaster,,,"1,728","1,915",44,26,15,15,"3,743"
Lanesborough,,,"1,144",430,16,6,6,10,"1,612"
Lawrence,,,"18,278","3,462",138,47,37,90,"22,052"
Lee,,,"2,198",719,26,25,7,25,"3,000"
Leicester,,,"2,764","2,674",74,22,18,43,"5,595"
Lenox,,,"2,318",675,27,29,10,20,"3,079"
Leominster,,,"9,792","8,552",210,88,52,79,"18,773"
Leverett,,,"1,004",183,12,39,0,4,"1,242"
Lexington,,,"12,750","5,293",137,160,25,74,"18,439"
Leyden,,,339,115,4,4,0,1,463
Lincoln,,,"2,613","1,074",29,22,4,8,"3,750"
Littleton,,,"2,939","2,363",75,36,16,12,"5,441"
Longmeadow,,,"4,860","4,530",62,39,10,17,"9,518"
Lowell,,,"22,771","10,643",411,191,65,145,"34,226"
Ludlow,,,"5,240","4,295",91,52,20,28,"9,726"
Lunenburg,,,"2,751","3,040",73,36,24,24,"5,948"
Lynn,,,"23,124","8,512",261,113,66,181,"32,257"
Lynnfield,,,"2,776","4,420",53,15,7,21,"7,292"
Malden,,,"15,010","5,730",197,117,51,100,"21,205"
Manchester-by-the-Sea,,,"1,926","1,559",30,18,5,5,"3,543"
Mansfield,,,"5,932","5,870",130,54,0,173,"12,159"
Marblehead,,,"6,991","5,510",102,38,19,44,"12,704"
Marion,,,"1,727","1,458",33,12,2,9,"3,241"
Marlborough,,,"9,587","6,870",188,75,41,60,"16,821"
Marshfield,,,"7,046","7,874",108,56,28,43,"15,155"
Mashpee,,,"4,135","4,062",46,42,11,46,"8,342"
Mattapoisett,,,"2,041","1,855",28,29,0,125,"4,078"
Maynard,,,"3,635","2,023",77,53,15,14,"5,817"
Medfield,,,"3,448","3,864",71,32,9,46,"7,470"
Medford,,,"18,874","8,359",275,227,76,131,"27,942"
Medway,,,"3,627","3,526",70,29,13,30,"7,295"
Melrose,,,"9,368","5,971",133,75,37,52,"15,636"
Mendon,,,"1,524","1,844",34,15,12,9,"3,438"
Merrimac,,,"1,847","1,660",47,18,12,20,"3,604"
Methuen,,,"11,092","10,198",206,50,26,100,"21,672"
Middleborough,,,"5,224","6,053",130,60,30,129,"11,626"
Middlefield,,,202,77,5,6,0,4,294
Middleton,,,"1,921","2,658",36,16,1,24,"4,656"
Milford,,,"7,159","5,519",125,58,37,53,"12,951"
