City/Town,,,"Harris/ Walz","Trump/ Vance","Stein/ Caballero-Roca","Ayyadurai/ Ellis","Oliver/ Ter Maat","De La Cruz/ Garcia","Sonski/ Onak","West/ Abdullah","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Unenrolled,Libertarian,Unenrolled,Unenrolled,Unenrolled
Abington,,,"4,714","4,639",47,61,52,22,1,0,34,105,"9,675"
Acton,,,"10,177","2,536",149,68,94,35,0,0,123,149,"13,331"
Acushnet,,,"2,311","3,808",17,40,26,8,0,0,20,41,"6,271"
Adams,,,"2,603","1,659",21,29,23,10,0,0,15,35,"4,395"
Agawam,,,"6,942","8,374",109,97,61,24,0,0,81,144,"15,832"
Alford,,,252,58,3,0,3,1,0,0,0,9,326
Amesbury,,,"6,567","3,500",54,57,76,15,0,0,0,152,"10,421"
Amherst,,,"9,316",889,211,20,41,112,0,7,67,80,"10,743"
Andover,,,"13,115","6,690",174,115,118,51,2,3,157,254,"20,679"
Aquinnah,,,304,37,2,1,1,2,0,0,4,0,351
Arlington,,,"22,399","4,219",306,92,127,148,10,5,158,300,"27,764"
Ashburnham,,,"1,965","1,795",23,27,20,10,0,0,25,28,"3,893"
Ashby,,,936,"1,009",11,8,13,5,0,0,0,21,"2,003"
Ashfield,,,919,235,21,8,9,10,0,0,2,12,"1,216"
Ashland,,,"6,589","2,921",69,62,74,19,2,0,0,170,"9,906"
Athol,,,"2,602","2,952",21,52,21,9,0,0,30,42,"5,729"
Attleboro,,,"12,675","10,007",189,123,107,77,4,4,95,196,"23,477"
Auburn,,,"5,206","4,512",64,69,52,25,0,0,50,95,"10,073"
Avon,,,"1,375","1,125",15,11,10,6,0,0,8,33,"2,583"
Ayer,,,"2,870","1,638",30,34,31,12,0,0,0,89,"4,704"
Barnstable,,,"15,227","11,919",103,120,142,64,0,0,180,242,"27,997"
Barre,,,"1,408","1,625",12,13,15,5,2,7,3,35,"3,125"
Becket,,,743,448,8,7,9,4,0,0,16,12,"1,247"
Bedford,,,"5,874","2,192",75,47,55,19,0,0,79,91,"8,432"
Belchertown,,,"5,603","3,720",62,52,57,28,4,0,11,94,"9,631"
Bellingham,,,"4,894","4,869",55,56,46,20,0,0,66,80,"10,086"
Belmont,,,"10,996","2,867",185,80,88,77,0,5,129,227,"14,654"
Berkley,,,"1,612","2,549",13,17,15,3,0,0,20,34,"4,263"
Berlin,,,"1,385",941,16,14,26,9,0,0,16,22,"2,429"
Bernardston,,,878,491,14,5,10,0,0,0,7,6,"1,411"
Beverly,,,"15,536","7,413",161,132,157,91,8,0,57,353,"23,908"
Billerica,,,"11,743","11,383",178,110,95,44,0,0,154,174,"23,881"
Blackstone,,,"2,245","2,783",25,25,24,5,0,0,9,38,"5,154"
Blandford,,,308,492,1,5,5,0,0,0,4,5,820
Bolton,,,"2,459","1,098",25,18,37,9,0,0,30,30,"3,706"
Boston,,,"201,628","51,808","2,812","1,145","1,192","2,178",34,62,"1,916","2,638","265,413"
Bourne,,,"6,265","5,609",49,61,53,15,1,0,98,121,"12,272"
Boxborough,,,"2,295",768,32,17,31,4,0,1,18,26,"3,192"
Boxford,,,"3,012","2,266",26,23,41,7,0,0,44,44,"5,463"
Boylston,,,"1,886","1,367",31,23,25,7,0,0,16,32,"3,387"
Braintree,,,"10,546","9,210",132,133,90,51,0,0,140,281,"20,583"
Brewster,,,"4,776","2,337",47,30,22,12,0,0,36,89,"7,349"
Bridgewater,,,"7,070","7,118",78,83,51,31,4,4,45,173,"14,657"
Brimfield,,,"1,017","1,271",12,24,16,4,0,0,14,5,"2,363"
Brockton,,,"24,727","9,599",187,267,95,146,0,0,46,417,"35,484"
Brookfield,,,930,"1,109",8,9,16,6,0,0,12,17,"2,107"
Brookline,,,"23,710","3,497",361,82,123,160,1,6,306,340,"28,586"
Buckland,,,808,296,12,5,6,4,0,0,2,10,"1,143"
Burlington,,,"8,218","5,569",165,88,76,26,3,1,101,353,"14,600"
Cambridge,,,"43,690","4,159","1,005",151,252,533,35,40,257,539,"50,661"
Canton,,,"8,381","5,259",108,83,69,28,1,2,67,200,"14,198"
Carlisle,,,"2,648",663,23,15,27,7,0,0,18,60,"3,461"
Carver,,,"3,022","3,945",29,45,25,12,0,0,37,69,"7,184"
Charlemont,,,479,211,22,5,11,1,0,0,0,15,744
Charlton,,,"3,494","4,519",31,66,43,24,0,0,29,90,"8,296"
Chatham,,,"2,962","1,746",26,14,31,10,0,0,55,57,"4,901"
Chelmsford,,,"12,937","7,901",150,117,136,45,2,4,137,276,"21,705"
Chelsea,,,"5,787","2,594",110,59,24,99,0,0,0,196,"8,869"
Cheshire,,,"1,032",876,8,3,6,0,0,0,15,14,"1,954"
Chester,,,293,434,1,7,5,3,0,0,0,8,751
Chesterfield,,,497,291,5,6,13,7,0,2,2,13,836
Chicopee,,,"12,630","11,247",126,182,101,101,0,0,110,172,"24,669"
Chilmark,,,778,123,6,6,9,1,0,1,7,14,945
Clarksburg,,,551,398,5,6,3,2,0,0,6,9,980
Clinton,,,"4,192","3,125",39,42,41,21,0,0,50,56,"7,566"
Cohasset,,,"3,458","1,715",21,30,53,6,0,0,74,74,"5,431"
Colrain,,,644,358,13,12,8,1,0,0,0,14,"1,050"
Concord,,,"9,588","1,924",73,36,77,26,0,2,122,178,"12,026"
Conway,,,943,315,20,8,4,7,0,0,6,7,"1,310"
Cummington,,,399,158,14,3,2,4,0,0,1,6,587
Dalton,,,"2,322","1,189",29,24,10,8,0,0,19,83,"3,684"
Danvers,,,"8,769","7,169",96,100,84,37,3,0,46,231,"16,535"
Dartmouth,,,"9,054","8,994",58,82,91,22,0,0,59,189,"18,549"
Dedham,,,"9,494","5,059",122,89,81,42,1,0,114,177,"15,179"
Deerfield,,,"2,307",865,38,16,32,8,0,0,17,25,"3,308"
Dennis,,,"5,809","4,178",38,40,43,13,0,0,87,108,"10,316"
Dighton,,,"1,906","2,805",16,32,17,7,0,0,0,92,"4,875"
Douglas,,,"2,407","3,271",29,32,30,4,0,0,0,100,"5,873"
